part_number,part_description,server_description,country,type,breadcrumb,specification,image,url,store_name
SNPMT9MYC/8G,Dell Memory Upgrade - 8GB - 1Rx8 DDR4 UDIMM 2400MHz ECC,PowerEdge R230,Hong kong,memory,Hong Kong>Home & Home Office>Accessories>Memory>Memory Upgrades>Dell Memory Upgrade - 8GB - 1Rx8 DDR4 UDIMM 2400MHz ECC,"{""Product Type"": ""RAM memory"", ""Capacity"": ""8 GB"", ""Memory Type"": ""DDR4 SDRAM - DIMM 288-pin"", ""Upgrade Type"": ""System specific"", ""Data Integrity Check"": ""ECC"", ""Speed"": ""2400 MHz (PC4-19200)"", ""Features"": ""Single rank, unbuffered"", ""Voltage"": ""1.2 V"", ""OEM Manufacturer Equivalent Part Number"": ""DELL A9654881"", ""Pricing Type"": ""Upgrade"", ""Type"": ""DRAM"", ""Technology"": ""DDR4 SDRAM"", ""Form Factor"": ""DIMM 288-pin"", ""Chips Organization"": ""X8""}",//snpi.dell.com/snp/images2/300/en-hk~A9654881_v3/A9654881_v3.jpg,https://www.dell.com/en-hk/shop/dell-memory-upgrade-8gb-1rx8-ddr4-udimm-2400mhz-ecc/apd/a9654881/memory,DELL
AB600820,Dell Memory Upgrade - 16GB - 1Rx8 DDR4 UDIMM 3200MHz XMP,Alienware Aurora R12,USA,memory,United States>For Business>Accessories>Memory>Memory Upgrades>Dell Memory Upgrade - 16GB - 1Rx8 DDR4 UDIMM 3200MHz XMP,"{""Type"": ""DDR4 SDRAM"", ""Data Integrity Check"": ""NON-ECC"", ""Storage Capacity"": ""16GB"", ""Speed"": ""3200MHz"", ""Features"": ""Single rank, 1.25 Voltage, Unbuffered, 288 pin""}",//snpi.dell.com/snp/images2/300/en-us~AB600820_V2/AB600820_V2.jpg,https://www.dell.com/en-us/work/shop/dell-memory-upgrade-16gb-1rx8-ddr4-udimm-3200mhz-xmp/apd/ab600820/memory,DELL
SNP75X1VC/32G,Dell Memory Upgrade - 32GB - 2RX4 DDR4 RDIMM 3200MHz 8Gb BASE,PowerEdge C6525,USA,memory,United States>For Business>Accessories>Memory>Memory Upgrades>Dell Memory Upgrade - 32GB - 2RX4 DDR4 RDIMM 3200MHz 8Gb BASE,"{""Product Type"": ""Memory module"", ""Capacity"": ""32 GB"", ""Memory Type"": ""DDR4 SDRAM - DIMM 288-pin"", ""Upgrade Type"": ""System specific"", ""Data Integrity Check"": ""ECC"", ""Speed"": ""3200 MHz (PC4-25600)"", ""Features"": ""Dual rank, registered"", ""Voltage"": ""1.2 V"", ""OEM Manufacturer Equivalent Part Number"": ""DELL AA783422"", ""Pricing Type"": ""Upgrade"", ""Type"": ""DRAM memory module"", ""Technology"": ""DDR4 SDRAM"", ""Form Factor"": ""DIMM 288-pin"", ""Chips Organization"": ""X4""}",//snpi.dell.com/snp/images2/300/en-us~AA783422_v1/AA783422_v1.jpg,https://www.dell.com/en-us/work/shop/dell-memory-upgrade-32gb-2rx4-ddr4-rdimm-3200mhz-8gb-base/apd/aa783422/memory,DELL
A9434545,16GB DDR4 2400MHz DIMM,,USA,memory,United States>For Business>Accessories>Memory>Memory Upgrades>16GB DDR4 2400MHz DIMM,"{""Product Type"": ""Memory module"", ""Capacity"": ""16 GB"", ""Memory Type"": ""DDR4 SDRAM - DIMM 288-pin"", ""Upgrade Type"": ""Generic"", ""Data Integrity Check"": ""Non-ECC"", ""Speed"": ""2400 MHz (PC4-19200)"", ""Latency Timings"": ""CL17"", ""Features"": ""Unbuffered"", ""Voltage"": ""1.2 V"", ""Manufacturer Warranty"": ""Limited lifetime warranty"", ""Type"": ""DRAM memory module"", ""Technology"": ""DDR4 SDRAM"", ""Form Factor"": ""DIMM 288-pin"", ""Compliant Standards"": ""RoHS"", ""Service & Support"": ""Limited lifetime warranty""}",//snpi.dell.com/snp/images2/300/en-us~A9434545/A9434545.jpg,https://www.dell.com/en-us/work/shop/16gb-ddr4-2400mhz-dimm/apd/a9434545/memory,DELL
A9654881,Dell Memory Upgrade - 8GB - 1Rx8 DDR4 UDIMM 2400MHz ECC,PowerEdge R230,Hong kong,memory,Hong Kong>Home & Home Office>Accessories>Memory>Memory Upgrades>Dell Memory Upgrade - 8GB - 1Rx8 DDR4 UDIMM 2400MHz ECC,"{""Product Type"": ""RAM memory"", ""Capacity"": ""8 GB"", ""Memory Type"": ""DDR4 SDRAM - DIMM 288-pin"", ""Upgrade Type"": ""System specific"", ""Data Integrity Check"": ""ECC"", ""Speed"": ""2400 MHz (PC4-19200)"", ""Features"": ""Single rank, unbuffered"", ""Voltage"": ""1.2 V"", ""OEM Manufacturer Equivalent Part Number"": ""DELL A9654881"", ""Pricing Type"": ""Upgrade"", ""Type"": ""DRAM"", ""Technology"": ""DDR4 SDRAM"", ""Form Factor"": ""DIMM 288-pin"", ""Chips Organization"": ""X8""}",//snpi.dell.com/snp/images2/300/en-hk~A9654881_v3/A9654881_v3.jpg,https://www.dell.com/en-hk/shop/dell-memory-upgrade-8gb-1rx8-ddr4-udimm-2400mhz-ecc/apd/a9654881/memory,DELL
SNPMT9MYC/8G,Dell Memory Upgrade - 8GB - 1Rx8 DDR4 UDIMM 2400MHz ECC,PowerEdge R330,Hong kong,memory,Hong Kong>Home & Home Office>Accessories>Memory>Memory Upgrades>Dell Memory Upgrade - 8GB - 1Rx8 DDR4 UDIMM 2400MHz ECC,"{""Product Type"": ""RAM memory"", ""Capacity"": ""8 GB"", ""Memory Type"": ""DDR4 SDRAM - DIMM 288-pin"", ""Upgrade Type"": ""System specific"", ""Data Integrity Check"": ""ECC"", ""Speed"": ""2400 MHz (PC4-19200)"", ""Features"": ""Single rank, unbuffered"", ""Voltage"": ""1.2 V"", ""OEM Manufacturer Equivalent Part Number"": ""DELL A9654881"", ""Pricing Type"": ""Upgrade"", ""Type"": ""DRAM"", ""Technology"": ""DDR4 SDRAM"", ""Form Factor"": ""DIMM 288-pin"", ""Chips Organization"": ""X8""}",//snpi.dell.com/snp/images2/300/en-hk~A9654881_v3/A9654881_v3.jpg,https://www.dell.com/en-hk/shop/dell-memory-upgrade-8gb-1rx8-ddr4-udimm-2400mhz-ecc/apd/a9654881/memory,DELL
SNPHYXPXC/8G,Dell Memory Upgrade - 8GB - 1Rx8 DDR4 SODIMM 2666MHz,Alienware Area-51M,USA,memory,United States>For Business>Accessories>Memory>Memory Upgrades>Dell Memory Upgrade - 8GB - 1Rx8 DDR4 SODIMM 2666MHz,"{""Product Type"": ""RAM memory"", ""Capacity"": ""8 GB"", ""Memory Type"": ""DDR4 SDRAM - SO-DIMM 260-pin"", ""Upgrade Type"": ""System specific"", ""Data Integrity Check"": ""Non-ECC"", ""Speed"": ""2666 MHz"", ""Features"": ""Single rank, unbuffered"", ""Voltage"": ""1.2 V"", ""OEM Manufacturer Equivalent Part Number"": ""DELL SNPHYXPXC/8G, DELL A9206671"", ""Type"": ""DRAM"", ""Technology"": ""DDR4 SDRAM"", ""Form Factor"": ""SO-DIMM 260-pin"", ""Module Configuration"": ""1024 x 64"", ""Chips Organization"": ""X8"", ""Service & Support"": ""N/A"", ""Designed For"": ""See compatibility chart below""}",//snpi.dell.com/snp/images2/300/en-us~A9206671_V3/A9206671_V3.jpg,https://www.dell.com/en-us/work/shop/dell-memory-upgrade-8gb-1rx8-ddr4-sodimm-2666mhz/apd/a9206671/memory,DELL
900945,16GB DDR4 2400MHz (PC4-19200) SODIMM Memory - Notebook RAM - VisionTek,,USA,memory,United States>For Business>Accessories>Memory>Memory Upgrades>16GB DDR4 2400MHz (PC4-19200) SODIMM Memory - Notebook RAM - VisionTek,"{""Product Type"": ""Memory module"", ""Capacity"": ""16 GB"", ""Memory Type"": ""DDR4 SDRAM - SO-DIMM 260-pin"", ""Upgrade Type"": ""Generic"", ""Data Integrity Check"": ""Non-ECC"", ""Speed"": ""2400 MHz (PC4-19200)"", ""Latency Timings"": ""CL17"", ""Features"": ""Unbuffered"", ""Voltage"": ""1.2 V"", ""Manufacturer Warranty"": ""Limited lifetime warranty"", ""Type"": ""DRAM memory module"", ""Technology"": ""DDR4 SDRAM"", ""Form Factor"": ""SO-DIMM 260-pin"", ""Compliant Standards"": ""RoHS"", ""Service & Support"": ""Limited lifetime warranty""}",//snpi.dell.com/snp/images2/300/en-us~A9413667/A9413667.jpg,https://www.dell.com/en-us/work/shop/16gb-ddr4-2400mhz-pc4-19200-sodimm-memory-notebook-ram-visiontek/apd/a9413667/memory,DELL
900815,DDR4 RAM - DDR4 8GB 2400MHz (PC4-19200) DIMM Memory - Desktop RAM - VisionTek,,USA,memory,United States>For Business>Accessories>Memory>Memory Upgrades>DDR4 RAM - DDR4 8GB 2400MHz (PC4-19200) DIMM Memory - Desktop RAM - VisionTek,"{""Product Type"": ""Memory module"", ""Capacity"": ""8 GB"", ""Memory Type"": ""DDR4 SDRAM - DIMM 288-pin"", ""Upgrade Type"": ""Generic"", ""Data Integrity Check"": ""Non-ECC"", ""Speed"": ""2400 MHz (PC4-19200)"", ""Latency Timings"": ""CL17"", ""Features"": ""Unbuffered"", ""Voltage"": ""1.2 V"", ""Manufacturer Warranty"": ""Limited lifetime warranty"", ""Type"": ""DRAM memory module"", ""Technology"": ""DDR4 SDRAM"", ""Form Factor"": ""DIMM 288-pin"", ""Color Category"": ""Black, green"", ""Compliant Standards"": ""RoHS"", ""Service & Support"": ""Limited lifetime warranty""}",//snpi.dell.com/snp/images2/300/en-us~A9434543/A9434543.jpg,https://www.dell.com/en-us/work/shop/ddr4-ram-ddr4-8gb-2400mhz-pc4-19200-dimm-memory-desktop-ram-visiontek/apd/a9434543/memory,DELL
900944,8GB DDR4 2400MHz (PC4-19200) SODIMM Memory - Notebook RAM - VisionTek,,USA,memory,United States>For Business>Accessories>Memory>Memory Upgrades>8GB DDR4 2400MHz (PC4-19200) SODIMM Memory - Notebook RAM - VisionTek,"{""Product Type"": ""Memory module"", ""Capacity"": ""8 GB"", ""Memory Type"": ""DDR4 SDRAM - SO-DIMM 260-pin"", ""Upgrade Type"": ""Generic"", ""Data Integrity Check"": ""Non-ECC"", ""Speed"": ""2400 MHz (PC4-19200)"", ""Latency Timings"": ""CL17"", ""Features"": ""Unbuffered"", ""Voltage"": ""1.2 V"", ""Manufacturer Warranty"": ""Limited lifetime warranty"", ""Type"": ""DRAM memory module"", ""Technology"": ""DDR4 SDRAM"", ""Form Factor"": ""SO-DIMM 260-pin"", ""Compliant Standards"": ""RoHS"", ""Service & Support"": ""Limited lifetime warranty""}",//snpi.dell.com/snp/images2/300/en-us~A9413666/A9413666.jpg,https://www.dell.com/en-us/work/shop/8gb-ddr4-2400mhz-pc4-19200-sodimm-memory-notebook-ram-visiontek/apd/a9413666/memory,DELL
AA783422,Dell Memory Upgrade - 32GB - 2RX4 DDR4 RDIMM 3200MHz 8Gb BASE,PowerEdge C6525,USA,memory,United States>For Business>Accessories>Memory>Memory Upgrades>Dell Memory Upgrade - 32GB - 2RX4 DDR4 RDIMM 3200MHz 8Gb BASE,"{""Product Type"": ""Memory module"", ""Capacity"": ""32 GB"", ""Memory Type"": ""DDR4 SDRAM - DIMM 288-pin"", ""Upgrade Type"": ""System specific"", ""Data Integrity Check"": ""ECC"", ""Speed"": ""3200 MHz (PC4-25600)"", ""Features"": ""Dual rank, registered"", ""Voltage"": ""1.2 V"", ""OEM Manufacturer Equivalent Part Number"": ""DELL AA783422"", ""Pricing Type"": ""Upgrade"", ""Type"": ""DRAM memory module"", ""Technology"": ""DDR4 SDRAM"", ""Form Factor"": ""DIMM 288-pin"", ""Chips Organization"": ""X4""}",//snpi.dell.com/snp/images2/300/en-us~AA783422_v1/AA783422_v1.jpg,https://www.dell.com/en-us/work/shop/dell-memory-upgrade-32gb-2rx4-ddr4-rdimm-3200mhz-8gb-base/apd/aa783422/memory,DELL
SNP75X1VC/32G,Dell Memory Upgrade - 32GB - 2RX4 DDR4 RDIMM 3200MHz 8Gb BASE,PowerEdge FC430,USA,memory,United States>For Business>Accessories>Memory>Memory Upgrades>Dell Memory Upgrade - 32GB - 2RX4 DDR4 RDIMM 3200MHz 8Gb BASE,"{""Product Type"": ""Memory module"", ""Capacity"": ""32 GB"", ""Memory Type"": ""DDR4 SDRAM - DIMM 288-pin"", ""Upgrade Type"": ""System specific"", ""Data Integrity Check"": ""ECC"", ""Speed"": ""3200 MHz (PC4-25600)"", ""Features"": ""Dual rank, registered"", ""Voltage"": ""1.2 V"", ""OEM Manufacturer Equivalent Part Number"": ""DELL AA783422"", ""Pricing Type"": ""Upgrade"", ""Type"": ""DRAM memory module"", ""Technology"": ""DDR4 SDRAM"", ""Form Factor"": ""DIMM 288-pin"", ""Chips Organization"": ""X4""}",//snpi.dell.com/snp/images2/300/en-us~AA783422_v1/AA783422_v1.jpg,https://www.dell.com/en-us/work/shop/dell-memory-upgrade-32gb-2rx4-ddr4-rdimm-3200mhz-8gb-base/apd/aa783422/memory,DELL
SNPG9XKGC/16G,Dell Memory Upgrade - 16GB - 1Rx8 DDR4 SODIMM 3466MHz SuperSpeed/XMP,Alienware X17 R1,USA,memory,United States>For Business>Accessories>Memory>Memory Upgrades>Dell Memory Upgrade - 16GB - 1Rx8 DDR4 SODIMM 3466MHz SuperSpeed/XMP,"{""Type"": ""DDR4 SDRAM"", ""Storage Capacity"": ""16GB"", ""Speed"": ""3466MHz"", ""Features"": ""Single rank, 1.35 Voltage, Unbuffered, 260 pin""}",//snpi.dell.com/snp/images2/300/en-us~AB640684_v2/AB640684_v2.jpg,https://www.dell.com/en-us/work/shop/dell-memory-upgrade-16gb-1rx8-ddr4-sodimm-3466mhz-superspeed-xmp/apd/ab640684/memory,DELL
A9654881,Dell Memory Upgrade - 8GB - 1Rx8 DDR4 UDIMM 2400MHz ECC,PowerEdge R330,Hong kong,memory,Hong Kong>Home & Home Office>Accessories>Memory>Memory Upgrades>Dell Memory Upgrade - 8GB - 1Rx8 DDR4 UDIMM 2400MHz ECC,"{""Product Type"": ""RAM memory"", ""Capacity"": ""8 GB"", ""Memory Type"": ""DDR4 SDRAM - DIMM 288-pin"", ""Upgrade Type"": ""System specific"", ""Data Integrity Check"": ""ECC"", ""Speed"": ""2400 MHz (PC4-19200)"", ""Features"": ""Single rank, unbuffered"", ""Voltage"": ""1.2 V"", ""OEM Manufacturer Equivalent Part Number"": ""DELL A9654881"", ""Pricing Type"": ""Upgrade"", ""Type"": ""DRAM"", ""Technology"": ""DDR4 SDRAM"", ""Form Factor"": ""DIMM 288-pin"", ""Chips Organization"": ""X8""}",//snpi.dell.com/snp/images2/300/en-hk~A9654881_v3/A9654881_v3.jpg,https://www.dell.com/en-hk/shop/dell-memory-upgrade-8gb-1rx8-ddr4-udimm-2400mhz-ecc/apd/a9654881/memory,DELL
SNPMT9MYC/8G,Dell Memory Upgrade - 8GB - 1Rx8 DDR4 UDIMM 2400MHz ECC,PowerEdge T130,Hong kong,memory,Hong Kong>Home & Home Office>Accessories>Memory>Memory Upgrades>Dell Memory Upgrade - 8GB - 1Rx8 DDR4 UDIMM 2400MHz ECC,"{""Product Type"": ""RAM memory"", ""Capacity"": ""8 GB"", ""Memory Type"": ""DDR4 SDRAM - DIMM 288-pin"", ""Upgrade Type"": ""System specific"", ""Data Integrity Check"": ""ECC"", ""Speed"": ""2400 MHz (PC4-19200)"", ""Features"": ""Single rank, unbuffered"", ""Voltage"": ""1.2 V"", ""OEM Manufacturer Equivalent Part Number"": ""DELL A9654881"", ""Pricing Type"": ""Upgrade"", ""Type"": ""DRAM"", ""Technology"": ""DDR4 SDRAM"", ""Form Factor"": ""DIMM 288-pin"", ""Chips Organization"": ""X8""}",//snpi.dell.com/snp/images2/300/en-hk~A9654881_v3/A9654881_v3.jpg,https://www.dell.com/en-hk/shop/dell-memory-upgrade-8gb-1rx8-ddr4-udimm-2400mhz-ecc/apd/a9654881/memory,DELL
A9206671,Dell Memory Upgrade - 8GB - 1Rx8 DDR4 SODIMM 2666MHz,Alienware Area-51M,USA,memory,United States>For Business>Accessories>Memory>Memory Upgrades>Dell Memory Upgrade - 8GB - 1Rx8 DDR4 SODIMM 2666MHz,"{""Product Type"": ""RAM memory"", ""Capacity"": ""8 GB"", ""Memory Type"": ""DDR4 SDRAM - SO-DIMM 260-pin"", ""Upgrade Type"": ""System specific"", ""Data Integrity Check"": ""Non-ECC"", ""Speed"": ""2666 MHz"", ""Features"": ""Single rank, unbuffered"", ""Voltage"": ""1.2 V"", ""OEM Manufacturer Equivalent Part Number"": ""DELL SNPHYXPXC/8G, DELL A9206671"", ""Type"": ""DRAM"", ""Technology"": ""DDR4 SDRAM"", ""Form Factor"": ""SO-DIMM 260-pin"", ""Module Configuration"": ""1024 x 64"", ""Chips Organization"": ""X8"", ""Service & Support"": ""N/A"", ""Designed For"": ""See compatibility chart below""}",//snpi.dell.com/snp/images2/300/en-us~A9206671_V3/A9206671_V3.jpg,https://www.dell.com/en-us/work/shop/dell-memory-upgrade-8gb-1rx8-ddr4-sodimm-2666mhz/apd/a9206671/memory,DELL
